,NewLat,NewLon,Time Seg,0.0,1.0,2.0,3.0,4.0,5.0,6.0,Analysis Neighborhood
56,37.71,-122.465,Night,2.0,5.0,0.0,1.0,1.0,0.0,2.0,Oceanview/Merced/Ingleside
57,37.71,-122.4625,Afternoon,3.0,2.0,1.0,4.0,0.0,0.0,0.0,Outer Mission
58,37.71,-122.4625,Evening,2.0,1.0,2.0,2.0,0.0,0.0,0.0,Outer Mission
59,37.71,-122.4625,Morning,3.0,5.0,1.0,2.0,3.0,0.0,0.0,Outer Mission
60,37.71,-122.4625,Night,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Outer Mission
61,37.71,-122.46000000000001,Afternoon,5.0,3.0,1.0,0.0,1.0,0.0,2.0,Outer Mission
62,37.71,-122.46000000000001,Evening,6.0,17.0,1.0,4.0,4.0,0.0,3.0,Outer Mission
63,37.71,-122.46000000000001,Morning,7.0,6.0,1.0,1.0,1.0,0.0,4.0,Outer Mission
64,37.71,-122.46000000000001,Night,1.0,1.0,1.0,0.0,1.0,1.0,0.0,Outer Mission
65,37.71,-122.4575,Afternoon,0.0,7.0,0.0,6.0,3.0,0.0,1.0,Outer Mission
66,37.71,-122.4575,Evening,3.0,7.0,3.0,6.0,7.0,1.0,1.0,Outer Mission
67,37.71,-122.4575,Morning,5.0,12.0,6.0,1.0,2.0,0.0,7.0,Outer Mission
68,37.71,-122.4575,Night,3.0,4.0,3.0,3.0,0.0,0.0,2.0,Outer Mission
69,37.71,-122.455,Afternoon,19.0,16.0,2.0,6.0,4.0,0.0,2.0,Outer Mission
70,37.71,-122.455,Evening,21.0,4.0,1.0,3.0,5.0,0.0,3.0,Outer Mission
71,37.71,-122.455,Morning,12.0,7.0,2.0,4.0,6.0,0.0,1.0,Outer Mission
72,37.71,-122.455,Night,3.0,2.0,0.0,3.0,3.0,0.0,1.0,Outer Mission
73,37.71,-122.4525,Afternoon,5.0,20.0,4.0,1.0,6.0,0.0,0.0,Outer Mission
74,37.71,-122.4525,Evening,5.0,12.0,7.0,1.0,7.0,0.0,2.0,Outer Mission
75,37.71,-122.4525,Morning,11.0,14.0,3.0,3.0,8.0,1.0,13.0,Outer Mission
